train_loss,epoch,step,val_loss
0.6694450974464417,0,19,
,0,37,0.6749516725540161
0.6848263740539551,1,39,
0.6087780594825745,1,59,
,1,75,0.5720192790031433
0.575435996055603,2,79,
0.5270062685012817,2,99,
,2,113,0.48767998814582825
0.47484469413757324,3,119,
0.45896291732788086,3,139,
,3,151,0.4190211594104767
0.4071241617202759,4,159,
0.4254932105541229,4,179,
,4,189,0.36695796251296997
0.35860475897789,5,199,
0.3464632034301758,5,219,
,5,227,0.32683658599853516
0.38504424691200256,6,239,
0.30553504824638367,6,259,
,6,265,0.2972070276737213
0.2539622187614441,7,279,
0.3124476969242096,7,299,
,7,303,0.272951602935791
0.3184507191181183,8,319,
0.2924902141094208,8,339,
,8,341,0.25370630621910095
0.18091505765914917,9,359,
0.24372436106204987,9,379,
,9,379,0.23839277029037476
0.2290946990251541,10,399,
,10,417,0.22496867179870605
0.20023596286773682,11,419,
0.2657977044582367,11,439,
,11,455,0.2136809080839157
0.20083141326904297,12,459,
0.1896408200263977,12,479,
,12,493,0.20446039736270905
0.2167663425207138,13,499,
0.2468474954366684,13,519,
,13,531,0.19624999165534973
0.18869127333164215,14,539,
0.20585310459136963,14,559,
,14,569,0.1886807382106781
0.18685944378376007,15,579,
0.1993335485458374,15,599,
,15,607,0.18220312893390656
0.18963582813739777,16,619,
0.22321604192256927,16,639,
,16,645,0.17667467892169952
0.14825473725795746,17,659,
0.24269022047519684,17,679,
,17,683,0.17130766808986664
0.26836565136909485,18,699,
0.17827089130878448,18,719,
,18,721,0.16675816476345062
0.1537761092185974,19,739,
0.2911509871482849,19,759,
,19,759,0.16216160356998444
0.22258074581623077,20,779,
,20,797,0.15849900245666504
0.23390524089336395,21,799,
0.2143372744321823,21,819,
,21,835,0.154551699757576
0.09269970655441284,22,839,
0.1350719928741455,22,859,
,22,873,0.15098242461681366
0.18582439422607422,23,879,
0.19894032180309296,23,899,
,23,911,0.14821530878543854
0.13545899093151093,24,919,
0.17735938727855682,24,939,
,24,949,0.1449808031320572
0.1469828486442566,25,959,
0.14195182919502258,25,979,
,25,987,0.14202480018138885
0.12353139370679855,26,999,
0.23031149804592133,26,1019,
,26,1025,0.1390911340713501
0.26548483967781067,27,1039,
0.1647501140832901,27,1059,
,27,1063,0.1360781192779541
0.143409863114357,28,1079,
0.16322113573551178,28,1099,
,28,1101,0.13388411700725555
0.14263798296451569,29,1119,
0.2852122485637665,29,1139,
,29,1139,0.13145564496517181
0.20598506927490234,30,1159,
,30,1177,0.12917430698871613
0.1683489829301834,31,1179,
0.059531230479478836,31,1199,
,31,1215,0.12644964456558228
0.15938594937324524,32,1219,
0.16755932569503784,32,1239,
,32,1253,0.12450455874204636
0.13605672121047974,33,1259,
0.1037493646144867,33,1279,
,33,1291,0.12245872616767883
0.18515706062316895,34,1299,
0.14390768110752106,34,1319,
,34,1329,0.12014734745025635
0.12936340272426605,35,1339,
0.20876199007034302,35,1359,
,35,1367,0.11830644309520721
0.16531001031398773,36,1379,
0.10296235233545303,36,1399,
,36,1405,0.11628571897745132
0.11407680064439774,37,1419,
0.10259713977575302,37,1439,
,37,1443,0.11461078375577927
0.11718765646219254,38,1459,
0.18317259848117828,38,1479,
,38,1481,0.11312071233987808
0.2034786492586136,39,1499,
0.33214423060417175,39,1519,
,39,1519,0.11150573939085007
0.08276885002851486,40,1539,
,40,1557,0.10947446525096893
0.11861071735620499,41,1559,
0.17616955935955048,41,1579,
,41,1595,0.1082150787115097
0.09469114989042282,42,1599,
0.15377669036388397,42,1619,
,42,1633,0.10669104009866714
0.12306195497512817,43,1639,
0.11925435811281204,43,1659,
,43,1671,0.1052723079919815
0.05610273778438568,44,1679,
0.05978882312774658,44,1699,
,44,1709,0.1040862500667572
0.21226416528224945,45,1719,
0.13858704268932343,45,1739,
,45,1747,0.10277795046567917
0.13807547092437744,46,1759,
0.10611794143915176,46,1779,
,46,1785,0.10179369151592255
0.06731637567281723,47,1799,
0.10475292056798935,47,1819,
,47,1823,0.1002756655216217
0.11877566576004028,48,1839,
0.10868199914693832,48,1859,
,48,1861,0.09932107478380203
0.11130663007497787,49,1879,
0.27271056175231934,49,1899,
,49,1899,0.09788818657398224
0.10555323213338852,50,1919,
,50,1937,0.09659697860479355
0.07888177037239075,51,1939,
0.13194461166858673,51,1959,
,51,1975,0.09553299844264984
