val_loss,epoch,step,train_loss
0.6948716044425964,0,12,
,1,19,0.6993366479873657
0.6936133503913879,1,25,
0.6930394768714905,2,38,
,3,39,0.6955844163894653
0.693034291267395,3,51,
,4,59,0.6947221755981445
0.6934503316879272,4,64,
0.6936498284339905,5,77,
,6,79,0.6933377981185913
0.6941350698471069,6,90,
,7,99,0.691338062286377
0.6945101022720337,7,103,
0.6951789855957031,8,116,
,9,119,0.6955772638320923
0.6952856183052063,9,129,
,10,139,0.6918719410896301
0.6955365538597107,10,142,
0.6953197717666626,11,155,
,12,159,0.6927152276039124
0.6954953670501709,12,168,
,13,179,0.6946842670440674
0.6966941356658936,13,181,
0.6965345144271851,14,194,
,15,199,0.7004635334014893
0.6962869167327881,15,207,
,16,219,0.6858347058296204
0.6963163018226624,16,220,
0.6964094638824463,17,233,
,18,239,0.6898047924041748
0.6967203617095947,18,246,
,19,259,0.6964637041091919
0.6963614821434021,19,259,
0.6965665221214294,20,272,
,21,279,0.6925234198570251
0.697395384311676,21,285,
0.6971228122711182,22,298,
,23,299,0.6921178102493286
0.6969321370124817,23,311,
,24,319,0.689924418926239
0.6969517469406128,24,324,
0.6972789764404297,25,337,
,26,339,0.6975651979446411
0.6972777843475342,26,350,
,27,359,0.6965945363044739
0.6975260972976685,27,363,
0.6978825926780701,28,376,
,29,379,0.6961140632629395
0.6977440714836121,29,389,
,30,399,0.6909215450286865
0.697432279586792,30,402,
0.6974368095397949,31,415,
,32,419,0.6870189905166626
0.6976945400238037,32,428,
,33,439,0.6929271817207336
0.697408139705658,33,441,
0.6976222395896912,34,454,
,35,459,0.6879866719245911
0.6976205706596375,35,467,
,36,479,0.6867195963859558
0.697550892829895,36,480,
0.6979296803474426,37,493,
,38,499,0.693476676940918
0.6981692314147949,38,506,
,39,519,0.7004081010818481
0.6983063220977783,39,519,
0.6981619000434875,40,532,
,41,539,0.6918694972991943
0.698233962059021,41,545,
0.6980133652687073,42,558,
,43,559,0.6917846202850342
0.6981514096260071,43,571,
,44,579,0.6942473649978638
0.6981028914451599,44,584,
0.6982632279396057,45,597,
,46,599,0.6787977814674377
0.6982162594795227,46,610,
,47,619,0.6955212354660034
0.6979926228523254,47,623,
0.6980636715888977,48,636,
,49,639,0.6921665072441101
0.6986580491065979,49,649,
