val_loss,epoch,step,train_loss
0.7065816521644592,0,12,
0.7043598890304565,1,25,
0.7022703289985657,2,38,
,3,49,0.6985891461372375
0.700523853302002,3,51,
0.6990904808044434,4,64,
0.6980752348899841,5,77,
0.6970114707946777,6,90,
,7,99,0.7018880248069763
0.695976197719574,7,103,
0.6951208710670471,8,116,
0.694542407989502,9,129,
0.6940163373947144,10,142,
,11,149,0.6725479364395142
0.6934283971786499,11,155,
0.6930703520774841,12,168,
0.6926548480987549,13,181,
0.6923866271972656,14,194,
,15,199,0.6803896427154541
0.6919392943382263,15,207,
0.6910631656646729,16,220,
0.6903364658355713,17,233,
0.6896607279777527,18,246,
,19,249,0.7114630937576294
0.689272403717041,19,259,
0.6886746883392334,20,272,
0.6878044009208679,21,285,
0.6872329711914062,22,298,
,23,299,0.6862919926643372
0.6869376301765442,23,311,
0.6863844990730286,24,324,
0.6856392025947571,25,337,
,26,349,0.6746540069580078
0.6845678687095642,26,350,
0.6835390329360962,27,363,
0.6828349232673645,28,376,
0.6818227171897888,29,389,
,30,399,0.6731144189834595
0.681204080581665,30,402,
0.6802852749824524,31,415,
0.6793726086616516,32,428,
0.6786842346191406,33,441,
,34,449,0.7001160383224487
0.677531898021698,34,454,
0.6766043305397034,35,467,
0.6754027009010315,36,480,
0.6741965413093567,37,493,
,38,499,0.664375364780426
0.6730230450630188,38,506,
0.6717862486839294,39,519,
0.6705210208892822,40,532,
0.6690918803215027,41,545,
,42,549,0.668150782585144
0.6678903102874756,42,558,
0.6662492156028748,43,571,
0.6651822924613953,44,584,
0.6635684967041016,45,597,
,46,599,0.6533566117286682
0.6622616648674011,46,610,
0.6607469916343689,47,623,
0.6595011353492737,48,636,
,49,649,0.6575964093208313
0.6579723358154297,49,649,
0.656227707862854,50,662,
0.6546778678894043,51,675,
0.6531848907470703,52,688,
,53,699,0.6317742466926575
0.6514924764633179,53,701,
0.6499987840652466,54,714,
0.6478211879730225,55,727,
0.6461190581321716,56,740,
,57,749,0.6617491245269775
0.644408106803894,57,753,
0.6426023244857788,58,766,
0.6409751772880554,59,779,
0.6386517286300659,60,792,
,61,799,0.6276276111602783
0.6365808248519897,61,805,
0.634478747844696,62,818,
0.6328083872795105,63,831,
0.6306606531143188,64,844,
,65,849,0.619269609451294
0.6288144588470459,65,857,
0.6269963979721069,66,870,
0.6252040863037109,67,883,
0.6231539249420166,68,896,
,69,899,0.5845032334327698
0.620547890663147,69,909,
0.6179202795028687,70,922,
0.615980863571167,71,935,
0.6139824390411377,72,948,
,73,949,0.6245225667953491
0.6115071773529053,73,961,
0.6090739965438843,74,974,
0.6071390509605408,75,987,
,76,999,0.6340429782867432
0.6048978567123413,76,1000,
0.6026809811592102,77,1013,
0.6000421643257141,78,1026,
0.5978884696960449,79,1039,
,80,1049,0.6240124106407166
0.5954515337944031,80,1052,
0.5930351614952087,81,1065,
0.5905775427818298,82,1078,
0.588125467300415,83,1091,
,84,1099,0.6032249927520752
0.5851536393165588,84,1104,
0.5830096006393433,85,1117,
0.5804033875465393,86,1130,
0.5776370763778687,87,1143,
,88,1149,0.5746325850486755
0.5753036141395569,88,1156,
0.5729290246963501,89,1169,
0.5699710249900818,90,1182,
0.5675424933433533,91,1195,
,92,1199,0.5387148857116699
0.5644410848617554,92,1208,
0.5622421503067017,93,1221,
0.5592707991600037,94,1234,
0.5570886135101318,95,1247,
,96,1249,0.6009315252304077
0.5540117621421814,96,1260,
0.550665020942688,97,1273,
0.5485436916351318,98,1286,
,99,1299,0.5183014273643494
0.5455303192138672,99,1299,
0.5424537658691406,100,1312,
0.540152370929718,101,1325,
0.537725031375885,102,1338,
,103,1349,0.5093014240264893
0.534654974937439,103,1351,
0.5321956872940063,104,1364,
0.5293940901756287,105,1377,
0.5258976817131042,106,1390,
,107,1399,0.4539860486984253
0.5233149528503418,107,1403,
0.520850419998169,108,1416,
0.5181156992912292,109,1429,
0.5155322551727295,110,1442,
,111,1449,0.5284377336502075
0.5120106339454651,111,1455,
0.509330153465271,112,1468,
0.5057223439216614,113,1481,
0.5027763247489929,114,1494,
,115,1499,0.521862804889679
0.5001558065414429,115,1507,
0.49780991673469543,116,1520,
0.49596065282821655,117,1533,
0.49224284291267395,118,1546,
,119,1549,0.5392299890518188
0.48985955119132996,119,1559,
0.48629292845726013,120,1572,
0.4835026264190674,121,1585,
0.4810977876186371,122,1598,
,123,1599,0.4372542202472687
0.47777411341667175,123,1611,
0.4753073453903198,124,1624,
0.4728826582431793,125,1637,
,126,1649,0.5026248693466187
0.4696916341781616,126,1650,
0.4666374921798706,127,1663,
0.46380501985549927,128,1676,
0.4614523649215698,129,1689,
,130,1699,0.49188709259033203
0.45868536829948425,130,1702,
0.4553932845592499,131,1715,
0.45188552141189575,132,1728,
0.44938889145851135,133,1741,
,134,1749,0.42691320180892944
0.44675570726394653,134,1754,
0.4440000057220459,135,1767,
0.4411541223526001,136,1780,
0.43865516781806946,137,1793,
,138,1799,0.4741665720939636
0.4358622431755066,138,1806,
0.43338915705680847,139,1819,
0.43056076765060425,140,1832,
0.4273487329483032,141,1845,
,142,1849,0.42791086435317993
0.4242585003376007,142,1858,
0.4223077893257141,143,1871,
0.41934868693351746,144,1884,
0.41595545411109924,145,1897,
,146,1899,0.4041763246059418
0.41296854615211487,146,1910,
0.4106482267379761,147,1923,
0.4082230031490326,148,1936,
,149,1949,0.4451993703842163
0.4057910144329071,149,1949,
0.4026775658130646,150,1962,
0.39983639121055603,151,1975,
0.3968082368373871,152,1988,
,153,1999,0.45823341608047485
0.394266813993454,153,2001,
0.39168062806129456,154,2014,
0.38913750648498535,155,2027,
0.38660910725593567,156,2040,
,157,2049,0.39795827865600586
0.3837217688560486,157,2053,
0.3815484344959259,158,2066,
0.37953346967697144,159,2079,
0.3766585886478424,160,2092,
,161,2099,0.3901890516281128
0.3726617395877838,161,2105,
0.3707369267940521,162,2118,
0.3686377704143524,163,2131,
0.36612772941589355,164,2144,
,165,2149,0.35886070132255554
0.36343201994895935,165,2157,
0.36092323064804077,166,2170,
0.3582932949066162,167,2183,
0.3560987710952759,168,2196,
,169,2199,0.35145047307014465
0.3532920181751251,169,2209,
0.35127007961273193,170,2222,
0.3488207757472992,171,2235,
0.3464384377002716,172,2248,
,173,2249,0.32980507612228394
0.3441906273365021,173,2261,
0.34155118465423584,174,2274,
0.3395423889160156,175,2287,
,176,2299,0.40895968675613403
0.33764946460723877,176,2300,
0.33532950282096863,177,2313,
0.3323838710784912,178,2326,
0.3296431005001068,179,2339,
,180,2349,0.3445654511451721
0.3279522955417633,180,2352,
0.3257766664028168,181,2365,
0.32332882285118103,182,2378,
0.32131221890449524,183,2391,
,184,2399,0.3411751687526703
0.31871679425239563,184,2404,
0.31630274653434753,185,2417,
0.3141661286354065,186,2430,
0.31196072697639465,187,2443,
,188,2449,0.3452797532081604
0.3098951578140259,188,2456,
0.30817151069641113,189,2469,
