train_loss,epoch,step,val_loss
0.7030038833618164,0,19,
,0,37,0.6483200192451477
0.6802864074707031,1,39,
0.6641069054603577,1,59,
,1,75,0.5670354962348938
0.5847351551055908,2,79,
0.5773807168006897,2,99,
,2,113,0.5038294196128845
0.5656867623329163,3,119,
0.5089527368545532,3,139,
,3,151,0.451346755027771
0.4397162199020386,4,159,
0.46167755126953125,4,179,
,4,189,0.40618884563446045
0.4325684607028961,5,199,
0.4120308458805084,5,219,
,5,227,0.36843010783195496
0.30629411339759827,6,239,
0.4006754159927368,6,259,
,6,265,0.33761224150657654
0.298690527677536,7,279,
0.3460610806941986,7,299,
,7,303,0.31308841705322266
0.33625277876853943,8,319,
0.285023957490921,8,339,
,8,341,0.2935989499092102
0.2907433807849884,9,359,
0.23897194862365723,9,379,
,9,379,0.2773158550262451
0.38900837302207947,10,399,
,10,417,0.2648905813694
0.2797982394695282,11,419,
0.2608572244644165,11,439,
,11,455,0.25409024953842163
0.2963600158691406,12,459,
0.3210424780845642,12,479,
,12,493,0.24552007019519806
0.27995404601097107,13,499,
0.24270522594451904,13,519,
,13,531,0.23823435604572296
0.19656682014465332,14,539,
0.23478524386882782,14,559,
,14,569,0.23206444084644318
0.2590544521808624,15,579,
0.2416115254163742,15,599,
,15,607,0.2270052284002304
0.25225257873535156,16,619,
0.2756965756416321,16,639,
,16,645,0.22275367379188538
0.19423842430114746,17,659,
0.24507923424243927,17,679,
,17,683,0.21917004883289337
0.24612128734588623,18,699,
0.3136829435825348,18,719,
,18,721,0.21517635881900787
0.1983635276556015,19,739,
0.19685398042201996,19,759,
,19,759,0.21249057352542877
0.251294881105423,20,779,
,20,797,0.20985159277915955
0.21988125145435333,21,799,
0.233174130320549,21,819,
,21,835,0.20765545964241028
0.1810591220855713,22,839,
0.22113578021526337,22,859,
,22,873,0.20525865256786346
0.14944593608379364,23,879,
0.2571432292461395,23,899,
,23,911,0.20403064787387848
0.22583071887493134,24,919,
0.2385311722755432,24,939,
,24,949,0.20249956846237183
0.2047223299741745,25,959,
0.266142338514328,25,979,
,25,987,0.201019287109375
0.14402636885643005,26,999,
0.18768231570720673,26,1019,
,26,1025,0.19931861758232117
0.3486945331096649,27,1039,
0.20937176048755646,27,1059,
,27,1063,0.19767999649047852
0.21491868793964386,28,1079,
0.1465105265378952,28,1099,
,28,1101,0.19650602340698242
0.23348234593868256,29,1119,
0.2159154862165451,29,1139,
,29,1139,0.19577975571155548
0.1706026792526245,30,1159,
,30,1177,0.19445207715034485
0.27075037360191345,31,1179,
0.18322686851024628,31,1199,
,31,1215,0.19384293258190155
0.2313685268163681,32,1219,
0.23136667907238007,32,1239,
,32,1253,0.1928996592760086
0.24461449682712555,33,1259,
0.21312810480594635,33,1279,
,33,1291,0.19210098683834076
0.12338676303625107,34,1299,
0.13617496192455292,34,1319,
,34,1329,0.19129861891269684
0.3928885757923126,35,1339,
0.1657133549451828,35,1359,
,35,1367,0.19084829092025757
0.2024615854024887,36,1379,
0.19520044326782227,36,1399,
,36,1405,0.1900869607925415
0.2594245672225952,37,1419,
0.2130521535873413,37,1439,
,37,1443,0.18945088982582092
0.20690256357192993,38,1459,
0.19693411886692047,38,1479,
,38,1481,0.18836736679077148
0.23476426303386688,39,1499,
0.3107164204120636,39,1519,
,39,1519,0.18835970759391785
0.20754776895046234,40,1539,
,40,1557,0.18814051151275635
0.1672760248184204,41,1559,
0.16982261836528778,41,1579,
,41,1595,0.18743294477462769
0.3296004831790924,42,1599,
0.14528371393680573,42,1619,
,42,1633,0.18744783103466034
0.2010592669248581,43,1639,
0.2215161919593811,43,1659,
,43,1671,0.18628139793872833
0.1415347307920456,44,1679,
0.2461957335472107,44,1699,
,44,1709,0.18579700589179993
0.18734537065029144,45,1719,
0.17949654161930084,45,1739,
,45,1747,0.18584495782852173
0.16319893300533295,46,1759,
0.22905147075653076,46,1779,
,46,1785,0.18532192707061768
0.22564566135406494,47,1799,
0.2545037567615509,47,1819,
,47,1823,0.1847258061170578
0.19137446582317352,48,1839,
0.15903465449810028,48,1859,
,48,1861,0.18439429998397827
0.227235808968544,49,1879,
0.1006569191813469,49,1899,
,49,1899,0.1845017522573471
