val_loss,epoch,step,train_loss
0.7113187313079834,0,6,
0.7133663296699524,1,13,
,2,19,0.5433157682418823
0.7156388163566589,2,20,
0.7181249260902405,3,27,
0.7209529280662537,4,34,
,5,39,0.5182993412017822
0.7241935133934021,5,41,
0.7278847694396973,6,48,
0.7321453094482422,7,55,
,8,59,0.4892456829547882
0.7370765209197998,8,62,
0.742826521396637,9,69,
0.749539315700531,10,76,
,11,79,0.4548611640930176
0.7573825716972351,11,83,
0.7665863037109375,12,90,
0.7774484753608704,13,97,
,14,99,0.41409826278686523
0.7902764081954956,14,104,
0.8053783178329468,15,111,
0.8231446146965027,16,118,
,17,119,0.3668162226676941
0.843923807144165,17,125,
0.8681678771972656,18,132,
,19,139,0.3164334297180176
0.896064281463623,19,139,
0.9278717041015625,20,146,
0.9636493921279907,21,153,
,22,159,0.2695165276527405
1.0032018423080444,22,160,
1.0462472438812256,23,167,
1.0919753313064575,24,174,
,25,179,0.23322775959968567
1.139663815498352,25,181,
1.1885474920272827,26,188,
1.2371907234191895,27,195,
,28,199,0.21064388751983643
1.2842599153518677,28,202,
1.328548789024353,29,209,
1.3690423965454102,30,216,
,31,219,0.19950160384178162
1.404978632926941,31,223,
1.4359524250030518,32,230,
1.4617024660110474,33,237,
,34,239,0.19488221406936646
1.4822149276733398,34,244,
1.4977644681930542,35,251,
1.5091068744659424,36,258,
,37,259,0.19284632802009583
1.517034649848938,37,265,
1.5222543478012085,38,272,
,39,279,0.1915847361087799
1.5253915786743164,39,279,
1.527012825012207,40,286,
1.5275602340698242,41,293,
,42,299,0.19057802855968475
1.5274392366409302,42,300,
1.5269771814346313,43,307,
1.5264407396316528,44,314,
,45,319,0.18978017568588257
1.5260586738586426,45,321,
1.5260494947433472,46,328,
1.5265040397644043,47,335,
,48,339,0.18925350904464722
1.5274685621261597,48,342,
1.528907060623169,49,349,
