val_loss,epoch,step,train_loss
0.6940643787384033,0,12,
,1,19,0.7152424454689026
0.6938767433166504,1,25,
0.6936253905296326,2,38,
,3,39,0.6904854774475098
0.6936222910881042,3,51,
,4,59,0.7126433253288269
0.6937642097473145,4,64,
0.6937974691390991,5,77,
,6,79,0.6892836689949036
0.693713366985321,6,90,
,7,99,0.6972917318344116
0.694113552570343,7,103,
0.6942285895347595,8,116,
,9,119,0.7070478200912476
0.6944094300270081,9,129,
,10,139,0.7001490592956543
0.6946346163749695,10,142,
0.6947102546691895,11,155,
,12,159,0.6981526017189026
0.694709300994873,12,168,
,13,179,0.6823285222053528
0.6945791840553284,13,181,
0.6947991251945496,14,194,
,15,199,0.6891669034957886
0.6950013637542725,15,207,
,16,219,0.6782944798469543
0.6951625943183899,16,220,
0.695026695728302,17,233,
,18,239,0.6952305436134338
0.6951852440834045,18,246,
,19,259,0.7031004428863525
0.6955002546310425,19,259,
0.6955538392066956,20,272,
,21,279,0.6922069191932678
0.6956241726875305,21,285,
0.6955934762954712,22,298,
,23,299,0.6959700584411621
0.6957193613052368,23,311,
,24,319,0.6978425979614258
0.6958338022232056,24,324,
0.6959160566329956,25,337,
,26,339,0.6924780011177063
0.6960787773132324,26,350,
,27,359,0.7023494243621826
0.6960312724113464,27,363,
0.6960693597793579,28,376,
,29,379,0.6889930367469788
0.6958580017089844,29,389,
,30,399,0.6921964287757874
0.6962558627128601,30,402,
0.6959939002990723,31,415,
,32,419,0.6952025890350342
0.6962531805038452,32,428,
,33,439,0.6979432106018066
0.6964614987373352,33,441,
0.6962027549743652,34,454,
,35,459,0.6873965859413147
0.6965247988700867,35,467,
,36,479,0.6927352547645569
0.6963893175125122,36,480,
0.6965087056159973,37,493,
,38,499,0.6932529211044312
0.696483314037323,38,506,
,39,519,0.6890541315078735
0.6963251233100891,39,519,
0.6965375542640686,40,532,
,41,539,0.6886589527130127
0.6964792013168335,41,545,
0.696510910987854,42,558,
,43,559,0.6914839148521423
0.6967299580574036,43,571,
,44,579,0.6888574361801147
0.6968411207199097,44,584,
0.6974098682403564,45,597,
,46,599,0.6868122220039368
0.696868896484375,46,610,
,47,619,0.6962087154388428
0.6969102621078491,47,623,
0.6970899701118469,48,636,
,49,639,0.6917753219604492
0.6969196200370789,49,649,
