val_loss,epoch,step,train_loss
0.6889039874076843,0,12,
,1,19,0.6863142848014832
0.6864058971405029,1,25,
0.6840962171554565,2,38,
,3,39,0.6705165505409241
0.6821014881134033,3,51,
,4,59,0.6888031959533691
0.6801512241363525,4,64,
0.6786911487579346,5,77,
,6,79,0.6919649243354797
0.6770419478416443,6,90,
,7,99,0.6763883233070374
0.6755036115646362,7,103,
0.6740881204605103,8,116,
,9,119,0.6760075688362122
0.6727956533432007,9,129,
,10,139,0.6693153381347656
0.6714156866073608,10,142,
0.669975221157074,11,155,
,12,159,0.6615479588508606
0.6686077117919922,12,168,
,13,179,0.6667031645774841
0.6672815680503845,13,181,
0.6660352349281311,14,194,
,15,199,0.680326521396637
0.6645886898040771,15,207,
,16,219,0.659116804599762
0.6631121039390564,16,220,
0.6616923809051514,17,233,
,18,239,0.6534156799316406
0.6601666212081909,18,246,
,19,259,0.6695162057876587
0.658674418926239,19,259,
0.6572132110595703,20,272,
,21,279,0.6440033912658691
0.6556069850921631,21,285,
0.6540380716323853,22,298,
,23,299,0.6341593861579895
0.6524973511695862,23,311,
,24,319,0.6420369744300842
0.6508086919784546,24,324,
0.6490976810455322,25,337,
,26,339,0.6389297842979431
0.6473939418792725,26,350,
,27,359,0.644486129283905
0.6455585360527039,27,363,
0.643725574016571,28,376,
,29,379,0.6404047012329102
0.6419686675071716,29,389,
,30,399,0.631211519241333
0.6400623917579651,30,402,
0.6381182670593262,31,415,
,32,419,0.6236637830734253
0.6360765695571899,32,428,
,33,439,0.6229926347732544
0.634006142616272,33,441,
0.6319246888160706,34,454,
,35,459,0.6136525869369507
0.6297259330749512,35,467,
,36,479,0.6039978265762329
0.6276105046272278,36,480,
0.6254282593727112,37,493,
,38,499,0.6320030689239502
0.623018205165863,38,506,
,39,519,0.6083006858825684
0.6207258105278015,39,519,
0.6184902191162109,40,532,
,41,539,0.5921041369438171
0.615982174873352,41,545,
0.6135609149932861,42,558,
,43,559,0.5980668067932129
0.6111335158348083,43,571,
,44,579,0.6095046401023865
0.6085895895957947,44,584,
0.6059945821762085,45,597,
,46,599,0.6153280735015869
0.6033767461776733,46,610,
,47,619,0.5748652219772339
0.6008837223052979,47,623,
0.5981711149215698,48,636,
,49,639,0.559203028678894
0.5955843925476074,49,649,
,50,659,0.5583025813102722
0.5929972529411316,50,662,
0.5901972651481628,51,675,
,52,679,0.5906994342803955
0.5876293182373047,52,688,
