epoch,metric,label
1,0.6863142848014832,train_loss
6,0.6919649243354797,train_loss
10,0.6693153381347656,train_loss
15,0.680326521396637,train_loss
19,0.6695162057876587,train_loss
24,0.6420369744300842,train_loss
29,0.6404047012329102,train_loss
33,0.6229926347732544,train_loss
38,0.6320030689239502,train_loss
43,0.5980668067932129,train_loss
47,0.5748652219772339,train_loss
52,0.5906994342803955,train_loss
56,0.5436711311340332,train_loss
61,0.5163847208023071,train_loss
66,0.5562845468521118,train_loss
70,0.4907226860523224,train_loss
75,0.4563024044036865,train_loss
79,0.4823494851589203,train_loss
84,0.4479168653488159,train_loss
89,0.4254845976829529,train_loss
93,0.4139630496501922,train_loss
98,0.3648722171783447,train_loss
103,0.3776822090148926,train_loss
107,0.32659912109375,train_loss
112,0.3507457077503204,train_loss
116,0.3192373514175415,train_loss
121,0.3764955997467041,train_loss
126,0.386427104473114,train_loss
130,0.2530228793621063,train_loss
135,0.3102321028709411,train_loss
139,0.3160357773303985,train_loss
144,0.2817213535308838,train_loss
149,0.2426100373268127,train_loss
153,0.2242408692836761,train_loss
158,0.1934586614370346,train_loss
163,0.2921174764633178,train_loss
167,0.2513208985328674,train_loss
172,0.1926688402891159,train_loss
176,0.2194382697343826,train_loss
181,0.2390700429677963,train_loss
186,0.2554016411304474,train_loss
190,0.1766616255044937,train_loss
195,0.2843147814273834,train_loss
199,0.1658219397068023,train_loss
0,0.6889039874076843,val_loss
1,0.6864058971405029,val_loss
2,0.6840962171554565,val_loss
3,0.6821014881134033,val_loss
4,0.6801512241363525,val_loss
5,0.6786911487579346,val_loss
6,0.6770419478416443,val_loss
7,0.6755036115646362,val_loss
8,0.6740881204605103,val_loss
9,0.6727956533432007,val_loss
10,0.6714156866073608,val_loss
11,0.669975221157074,val_loss
12,0.6686077117919922,val_loss
13,0.6672815680503845,val_loss
14,0.6660352349281311,val_loss
15,0.6645886898040771,val_loss
16,0.6631121039390564,val_loss
17,0.6616923809051514,val_loss
18,0.6601666212081909,val_loss
19,0.658674418926239,val_loss
20,0.6572132110595703,val_loss
21,0.6556069850921631,val_loss
22,0.6540380716323853,val_loss
23,0.6524973511695862,val_loss
24,0.6508086919784546,val_loss
25,0.6490976810455322,val_loss
26,0.6473939418792725,val_loss
27,0.6455585360527039,val_loss
28,0.643725574016571,val_loss
29,0.6419686675071716,val_loss
30,0.6400623917579651,val_loss
31,0.6381182670593262,val_loss
32,0.6360765695571899,val_loss
33,0.634006142616272,val_loss
34,0.6319246888160706,val_loss
35,0.6297259330749512,val_loss
36,0.6276105046272278,val_loss
37,0.6254282593727112,val_loss
38,0.623018205165863,val_loss
39,0.6207258105278015,val_loss
40,0.6184902191162109,val_loss
41,0.615982174873352,val_loss
42,0.6135609149932861,val_loss
43,0.6111335158348083,val_loss
44,0.6085895895957947,val_loss
45,0.6059945821762085,val_loss
46,0.6033767461776733,val_loss
47,0.6008837223052979,val_loss
48,0.5981711149215698,val_loss
49,0.5955843925476074,val_loss
50,0.5929972529411316,val_loss
51,0.5901972651481628,val_loss
52,0.5876293182373047,val_loss
53,0.5847975015640259,val_loss
54,0.5819494128227234,val_loss
55,0.5792111754417419,val_loss
56,0.5764774084091187,val_loss
57,0.5736721158027649,val_loss
58,0.5706912875175476,val_loss
59,0.567672610282898,val_loss
60,0.5647620558738708,val_loss
61,0.5616316199302673,val_loss
62,0.5586278438568115,val_loss
63,0.5555087924003601,val_loss
64,0.5525463223457336,val_loss
65,0.5491675734519958,val_loss
66,0.5459843277931213,val_loss
67,0.5426225066184998,val_loss
68,0.5394350290298462,val_loss
69,0.5362534523010254,val_loss
70,0.5328553915023804,val_loss
71,0.5296338796615601,val_loss
72,0.5262745022773743,val_loss
73,0.5229771137237549,val_loss
74,0.5194072723388672,val_loss
75,0.5161728262901306,val_loss
76,0.5126242637634277,val_loss
77,0.5091811418533325,val_loss
78,0.50584876537323,val_loss
79,0.5023527145385742,val_loss
80,0.4988251030445099,val_loss
81,0.4954657256603241,val_loss
82,0.4917578995227813,val_loss
83,0.4884458482265472,val_loss
84,0.4849330186843872,val_loss
85,0.4813153147697449,val_loss
86,0.477655291557312,val_loss
87,0.474269300699234,val_loss
88,0.4706655442714691,val_loss
89,0.4672518670558929,val_loss
90,0.4640204906463623,val_loss
91,0.460651159286499,val_loss
92,0.4572409391403198,val_loss
93,0.4539227187633514,val_loss
94,0.4506055116653442,val_loss
95,0.4472487270832062,val_loss
96,0.4435141086578369,val_loss
97,0.4404144585132599,val_loss
98,0.4370652139186859,val_loss
99,0.4338621497154236,val_loss
100,0.4306193888187408,val_loss
101,0.4274907410144806,val_loss
102,0.424458384513855,val_loss
103,0.4212654232978821,val_loss
104,0.4183505773544311,val_loss
105,0.415059357881546,val_loss
106,0.4120470285415649,val_loss
107,0.4092103838920593,val_loss
108,0.4061036705970764,val_loss
109,0.4031725823879242,val_loss
110,0.4001601040363312,val_loss
111,0.3972977697849273,val_loss
112,0.3944860398769378,val_loss
113,0.3915792107582092,val_loss
114,0.3887827694416046,val_loss
115,0.3861652612686157,val_loss
116,0.3832423388957977,val_loss
117,0.3805377185344696,val_loss
118,0.3779524266719818,val_loss
119,0.3752797842025757,val_loss
120,0.3725956082344055,val_loss
121,0.3699169158935547,val_loss
122,0.3675127327442169,val_loss
123,0.3649556040763855,val_loss
124,0.3622796237468719,val_loss
125,0.359907865524292,val_loss
126,0.3573040664196014,val_loss
127,0.3549665510654449,val_loss
128,0.3526428639888763,val_loss
129,0.3502961099147796,val_loss
130,0.3479520380496979,val_loss
