epoch,metric,label
3,0.6994409561157227,train_loss
15,0.6990938186645508,train_loss
26,0.6455779075622559,train_loss
38,0.6224402189254761,train_loss
49,0.6116175055503845,train_loss
61,0.5214637517929077,train_loss
73,0.5399747490882874,train_loss
84,0.4886572360992431,train_loss
96,0.451292335987091,train_loss
0,0.7057310342788696,val_loss
1,0.7032372951507568,val_loss
2,0.7010000348091125,val_loss
3,0.6988770961761475,val_loss
4,0.6969518065452576,val_loss
5,0.6951238512992859,val_loss
6,0.693432629108429,val_loss
7,0.6918666362762451,val_loss
8,0.6902585029602051,val_loss
9,0.6886062622070312,val_loss
10,0.6871035695075989,val_loss
11,0.6855053901672363,val_loss
12,0.6840333342552185,val_loss
13,0.6823632717132568,val_loss
14,0.6807777881622314,val_loss
15,0.6793830394744873,val_loss
16,0.6778872013092041,val_loss
17,0.6764139533042908,val_loss
18,0.6749823093414307,val_loss
19,0.6734541058540344,val_loss
20,0.6719639301300049,val_loss
21,0.6704570055007935,val_loss
22,0.6689175963401794,val_loss
23,0.6674349308013916,val_loss
24,0.6658878922462463,val_loss
25,0.6641812920570374,val_loss
26,0.6625218391418457,val_loss
27,0.6608397960662842,val_loss
28,0.6591135263442993,val_loss
29,0.6573228240013123,val_loss
30,0.6555265784263611,val_loss
31,0.6534322500228882,val_loss
32,0.6514658331871033,val_loss
33,0.6494781374931335,val_loss
34,0.647311270236969,val_loss
35,0.6451107859611511,val_loss
36,0.6428331732749939,val_loss
37,0.640743613243103,val_loss
38,0.6384118795394897,val_loss
39,0.6359504461288452,val_loss
40,0.6334692239761353,val_loss
41,0.6308729648590088,val_loss
42,0.6283912658691406,val_loss
43,0.6257021427154541,val_loss
44,0.6228980422019958,val_loss
45,0.620281457901001,val_loss
46,0.617719829082489,val_loss
47,0.6146602034568787,val_loss
48,0.6116524934768677,val_loss
49,0.608654797077179,val_loss
50,0.6057061553001404,val_loss
51,0.6025683879852295,val_loss
52,0.5996647477149963,val_loss
53,0.5965513586997986,val_loss
54,0.593249499797821,val_loss
55,0.5897440314292908,val_loss
56,0.5865657329559326,val_loss
57,0.5833659172058105,val_loss
58,0.5797435641288757,val_loss
59,0.5762764811515808,val_loss
60,0.5729712843894958,val_loss
61,0.5697728991508484,val_loss
62,0.5664544105529785,val_loss
63,0.562768816947937,val_loss
64,0.5590649843215942,val_loss
65,0.555618941783905,val_loss
66,0.5520634651184082,val_loss
67,0.5487629771232605,val_loss
68,0.5451949238777161,val_loss
69,0.54166579246521,val_loss
70,0.5384387969970703,val_loss
71,0.534763753414154,val_loss
72,0.5310884714126587,val_loss
73,0.5276620388031006,val_loss
74,0.5240991115570068,val_loss
75,0.5207587480545044,val_loss
76,0.5174875259399414,val_loss
77,0.5141677260398865,val_loss
78,0.5099422931671143,val_loss
79,0.5060855746269226,val_loss
80,0.5023099780082703,val_loss
81,0.4996118247509002,val_loss
82,0.4957042634487152,val_loss
83,0.4922676384449005,val_loss
84,0.4889601767063141,val_loss
85,0.4853414595127105,val_loss
86,0.4821141064167022,val_loss
87,0.4786800742149353,val_loss
88,0.4754453897476196,val_loss
89,0.4721446335315704,val_loss
90,0.4686889350414276,val_loss
91,0.4656897783279419,val_loss
92,0.4620113670825958,val_loss
93,0.4585894048213959,val_loss
94,0.4551287889480591,val_loss
95,0.4518975019454956,val_loss
96,0.4489030838012695,val_loss
97,0.445384532213211,val_loss
98,0.4426330327987671,val_loss
99,0.4392576217651367,val_loss
