epoch,metric,label
0,0.7030038833618164,train_loss
2,0.5847351551055908,train_loss
3,0.5089527368545532,train_loss
5,0.4325684607028961,train_loss
6,0.4006754159927368,train_loss
8,0.3362527787685394,train_loss
9,0.2389719486236572,train_loss
11,0.2608572244644165,train_loss
13,0.279954046010971,train_loss
14,0.2347852438688278,train_loss
16,0.2522525787353515,train_loss
17,0.2450792342424392,train_loss
19,0.1983635276556015,train_loss
21,0.2198812514543533,train_loss
22,0.2211357802152633,train_loss
24,0.2258307188749313,train_loss
25,0.266142338514328,train_loss
27,0.3486945331096649,train_loss
28,0.1465105265378952,train_loss
30,0.1706026792526245,train_loss
32,0.2313685268163681,train_loss
33,0.2131281048059463,train_loss
35,0.3928885757923126,train_loss
36,0.1952004432678222,train_loss
38,0.2069025635719299,train_loss
39,0.3107164204120636,train_loss
41,0.1698226183652877,train_loss
43,0.2010592669248581,train_loss
44,0.2461957335472107,train_loss
46,0.1631989330053329,train_loss
47,0.2545037567615509,train_loss
49,0.227235808968544,train_loss
0,0.6483200192451477,val_loss
1,0.5670354962348938,val_loss
2,0.5038294196128845,val_loss
3,0.451346755027771,val_loss
4,0.4061888456344604,val_loss
5,0.3684301078319549,val_loss
6,0.3376122415065765,val_loss
7,0.3130884170532226,val_loss
8,0.2935989499092102,val_loss
9,0.2773158550262451,val_loss
10,0.2648905813694,val_loss
11,0.2540902495384216,val_loss
12,0.245520070195198,val_loss
13,0.2382343560457229,val_loss
14,0.2320644408464431,val_loss
15,0.2270052284002304,val_loss
16,0.2227536737918853,val_loss
17,0.2191700488328933,val_loss
18,0.2151763588190078,val_loss
19,0.2124905735254287,val_loss
20,0.2098515927791595,val_loss
21,0.2076554596424102,val_loss
22,0.2052586525678634,val_loss
23,0.2040306478738784,val_loss
24,0.2024995684623718,val_loss
25,0.201019287109375,val_loss
26,0.1993186175823211,val_loss
27,0.1976799964904785,val_loss
28,0.1965060234069824,val_loss
29,0.1957797557115554,val_loss
30,0.1944520771503448,val_loss
31,0.1938429325819015,val_loss
32,0.1928996592760086,val_loss
33,0.1921009868383407,val_loss
34,0.1912986189126968,val_loss
35,0.1908482909202575,val_loss
36,0.1900869607925415,val_loss
37,0.1894508898258209,val_loss
38,0.1883673667907714,val_loss
39,0.1883597075939178,val_loss
40,0.1881405115127563,val_loss
41,0.1874329447746276,val_loss
42,0.1874478310346603,val_loss
43,0.1862813979387283,val_loss
44,0.1857970058917999,val_loss
45,0.1858449578285217,val_loss
46,0.1853219270706176,val_loss
47,0.1847258061170578,val_loss
48,0.1843942999839782,val_loss
49,0.1845017522573471,val_loss
