layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
2,encoder.dense2,0.2259682262471303,10,10,1.0,2.9279049306983564,-0.13420105178255393,0.8120575123733311,True,0.8998390149088432,LAYER_TYPE.DENSE,0.115182300421022,0.499456489481206,-0.045835180772261154,encoder.dense2,10,3.15832261074096,10,5,0,1,0.8621852958397092,0.8998390149088432,3.5098751647936814,success,0.9485984476631001,over-trained,0,0.8998390149088432,0.3050878708041623
3,encoder.dense3,0.20808320597282892,10,10,1.0,2.565080007253849,0.21226890094345033,0.774394893155933,True,1.2099107225188268,LAYER_TYPE.DENSE,0.4403488974059898,0.5722549410579335,0.08275332556613056,encoder.dense3,10,3.7346932872505425,10,5,0,1,0.699925057289094,1.2099107225188268,3.086751127782016,success,1.0999594185781705,over-trained,0,1.2099107225188268,0.3117814482917585
4,encoder.dense4,0.22059435812912653,10,10,1.0,2.7056937406425554,0.24847164568767527,0.7546640147831247,True,1.235471919391724,LAYER_TYPE.DENSE,0.47101878166114314,0.5745542813008607,0.09183287892319533,encoder.dense4,10,3.7545187826145527,10,5,0,1,0.7628094305745299,1.235471919391724,3.038934939503169,success,1.1115178448372856,over-trained,0,1.235471919391724,0.34177991775189076
5,encoder.dense5,0.19680975690556024,10,10,1.0,2.0751871358838283,0.04909642687910216,0.7625495412378933,True,1.055987542682977,LAYER_TYPE.DENSE,0.36498018050047,0.5183398092065463,0.023658794925110138,encoder.dense5,10,3.2986771279503433,10,6,0,1,0.4389433101533101,1.055987542682977,3.123784130605653,success,1.0276125450202411,over-trained,0,1.055987542682977,0.1611874944709698
