layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
2,encoder.dense2,0.1578959061431381,10,10,1.0,2.121219087883424,1.701540886152034,0.5064784329132522,True,6.340921178649716,LAYER_TYPE.DENSE,1.7139558488413384,0.9620963518200965,0.8021523546866866,encoder.dense2,10,9.16423783760316,10,5,0,1,0.5014244196355294,6.340921178649716,1.445253391330542,success,2.5181185791478757,over-trained,0,6.340921178649716,0.3760157167882363
3,encoder.dense3,0.15850877674706332,10,10,1.0,2.299919083151426,1.8632300352703453,0.5581611791019752,True,6.4584531965801215,LAYER_TYPE.DENSE,1.8867857497210407,1.0188971713846502,0.8101285166595015,encoder.dense3,10,10.444728883860767,10,5,0,1,0.5813414870351579,6.4584531965801215,1.61721832859166,success,2.541348696377599,over-trained,0,6.4584531965801215,0.5584081589445162
4,encoder.dense4,0.1684654797958965,10,10,1.0,1.6106257032418254,1.3851358334863832,0.49951287699920366,True,7.244336077616994,LAYER_TYPE.DENSE,1.4915380075992157,1.0753107714765928,0.859998589801726,encoder.dense4,10,11.893529975695655,10,7,0,1,0.2307948221316853,7.244336077616994,1.6417694938868712,success,2.6915304340870816,over-trained,0,7.244336077616994,0.1208010057198708
5,encoder.dense5,0.14880531845522849,10,10,1.0,1.5911824468662887,1.296788597401179,0.4639458412175517,True,6.531068331172231,LAYER_TYPE.DENSE,1.3548543649513827,0.9793139958892149,0.8149842275818868,encoder.dense5,10,9.534852868862945,10,7,0,1,0.2234459619821223,6.531068331172231,1.459922387177287,success,2.5555954944341703,over-trained,0,6.531068331172231,0.08705275178404276
