layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
2,encoder.dense2,0.1540816928170663,10,10,1.0,2.073443926389248,1.6773628107118241,0.5047805208718043,True,6.441311196559548,LAYER_TYPE.DENSE,1.6913114788745935,0.9684260774892778,0.8089742815629596,encoder.dense2,10,9.2987822404038,10,5,0,1,0.4800587178881278,6.441311196559548,1.4436163626701488,success,2.5379738368548144,over-trained,0,6.441311196559548,0.3651789180374382
3,encoder.dense3,0.13614724536974881,10,10,1.0,1.959312452963239,1.619964514098239,0.5203852044806262,True,6.711236458505726,LAYER_TYPE.DENSE,1.6494173411674173,1.008604716246381,0.8268025406811585,encoder.dense3,10,10.20010673399268,10,5,0,1,0.4290175712975744,6.711236458505726,1.5198550665079322,success,2.5906054231599467,over-trained,0,6.711236458505726,0.3842664406619259
4,encoder.dense4,0.16785034759104672,10,10,1.0,1.5814626652615642,1.3992657601166945,0.4798258262153364,True,7.66994333273931,LAYER_TYPE.DENSE,1.482763291441428,1.0737142144147185,0.8847921552958473,encoder.dense4,10,11.849887149029499,10,7,0,1,0.2197722298501278,7.66994333273931,1.5449771445439517,success,2.7694662541253883,over-trained,0,7.66994333273931,0.10662719362011695
5,encoder.dense5,0.1513760263918546,10,10,1.0,1.5880880170760618,1.3065170512477626,0.45825928269391464,True,6.648109068898243,LAYER_TYPE.DENSE,1.3643045178212851,0.9847926975427013,0.8226981358711346,encoder.dense5,10,9.655898624659972,10,7,0,1,0.22227637745719514,6.648109068898243,1.4524278294158905,success,2.578392729763688,over-trained,0,6.648109068898243,0.08490880418115554
