layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
2,encoder.dense2,0.20073400494031224,10,10,1.0,3.497414616283197,0.19336312307336584,0.8187016131294609,True,1.1357622936647633,LAYER_TYPE.DENSE,0.32793593708421614,0.5804731665812606,0.05528744638199585,encoder.dense2,10,3.806038407982658,10,5,0,1,1.1168777700021562,1.1357622936647633,3.351087132591554,success,1.0657214897264498,over-trained,0,1.1357622936647633,0.41350706031084583
3,encoder.dense3,0.25269017112334363,10,10,1.0,1.4533857070414837,0.1364334491423508,0.7701170472690256,True,1.241288819326829,LAYER_TYPE.DENSE,0.5363822489260246,0.5956091342155336,0.09387284358264067,encoder.dense3,10,3.941024495294277,10,9,0,1,0.1511285690138279,1.241288819326829,3.174945616147222,success,1.1141314192351048,over-trained,0,1.241288819326829,0.026042898489324364
4,encoder.dense4,0.15807870460375328,10,10,1.0,2.392874213683598,1.0496655918713036,0.639740349043403,True,2.745763250161172,LAYER_TYPE.DENSE,1.0725084746403002,0.6844857848208913,0.4386630880423276,encoder.dense4,10,4.835994350309392,10,5,0,1,0.6229122851806185,2.745763250161172,1.7612568563679065,success,1.6570344746447407,over-trained,0,2.745763250161172,0.2816138202720194
5,encoder.dense5,0.19032678724594354,10,10,1.0,2.022556603718425,0.6338835357848759,0.6813199076462206,True,2.0578185052806255,LAYER_TYPE.DENSE,0.7197936197874811,0.619967950378925,0.3134070683705441,encoder.dense5,10,4.168386209040024,10,6,0,1,0.4174569853705808,2.0578185052806255,2.025633552397071,success,1.4345098484432324,over-trained,0,2.0578185052806255,0.173103278242183
